-17776,90,145,-621,-3,-2,262,-94,-14,24
-17728,92,144,-620,-3,-2,260,-97,-8,21
-17712,92,142,-621,-3,-1,256,-91,-12,23
-17840,92,143,-621,-3,-4,259,-95,-15,21
-17744,91,144,-622,3,-1,258,-92,-12,23
-17808,93,144,-621,0,-1,261,-98,-15,23
-17680,91,143,-621,-2,-4,261,-92,-10,18
-17840,92,144,-622,-2,-4,258,-96,-15,20
-17792,91,142,-621,2,-3,255,-93,-11,24
-17776,92,144,-621,-1,-3,260,-100,-16,23
-17776,92,144,-621,0,-5,262,-96,-10,21
-17664,92,144,-621,-3,-2,260,-93,-9,24
-17680,92,144,-619,-1,-3,263,-96,-12,19
-17808,91,144,-621,2,-6,259,-98,-14,24
-17840,92,144,-622,2,-3,262,-97,-17,22
-17840,91,144,-621,2,-1,259,-95,-17,22
-17760,91,145,-622,-3,-5,259,-98,-14,24
-17856,93,143,-622,2,-5,262,-93,-16,24
-17760,91,144,-621,-2,-12,256,-97,-15,25
-17856,92,144,-621,0,-5,262,-95,-15,20
-17712,91,145,-622,-2,-2,261,-95,-16,21
-17792,92,144,-621,1,-4,262,-97,-13,23
-17744,93,144,-621,-2,-3,262,-97,-13,21
-17776,93,144,-621,-2,-7,258,-98,-15,22
-17744,92,144,-620,-2,-2,259,-96,-11,25
-17824,92,143,-622,-1,0,261,-98,-14,23
-17712,92,145,-621,1,-4,260,-95,-15,20
-17824,91,144,-620,-3,-4,263,-94,-12,20
-17776,92,144,-621,-4,-2,260,-93,-14,21
-17792,92,144,-622,1,-3,261,-96,-11,26
-17808,92,145,-622,-6,-3,262,-94,-14,23
-17840,91,144,-621,-1,-5,260,-94,-15,19
-17728,93,144,-622,-2,1,257,-96,-17,24
-17824,92,145,-620,-4,1,257,-95,-12,25
-17760,92,145,-621,-2,-4,260,-95,-13,22
-17840,92,144,-622,-2,-3,259,-100,-14,20
-17744,92,144,-622,-4,-3,263,-95,-11,26
-17744,92,144,-621,-1,-3,263,-93,-12,21
-17728,92,144,-622,-1,-6,261,-95,-15,21
-17744,92,144,-622,-2,-3,263,-94,-13,20
-17728,90,142,-621,1,-5,263,-95,-14,22
-17824,92,143,-621,-1,-1,259,-91,-16,24
-17744,92,145,-622,-3,-6,260,-95,-14,24
-17808,92,145,-622,-2,-1,260,-91,-11,20
-17744,91,144,-621,0,-2,259,-97,-14,22
-17856,93,144,-623,0,-5,261,-93,-18,20
-17936,92,145,-621,-2,-6,262,-97,-19,23
-17840,93,144,-622,-2,-1,260,-97,-17,22
-17856,92,144,-621,2,-7,259,-92,-14,22
-17840,92,143,-621,-3,-3,261,-96,-12,22
-17808,92,145,-621,-1,-3,262,-96,-16,24
-17840,92,144,-623,-4,-8,255,-94,-13,20
-17792,92,146,-621,-4,-3,262,-99,-8,23
-17824,92,144,-622,2,-2,260,-97,-12,22
-17840,91,145,-622,-1,-1,256,-97,-12,25
-17744,92,145,-622,-3,-4,259,-96,-13,22
-17920,92,145,-621,-1,-3,260,-92,-13,26
-17760,91,145,-622,-6,-1,260,-97,-12,25
-17936,93,146,-624,-1,-3,259,-93,-13,20
-17824,92,144,-622,3,-3,263,-95,-16,21
-17840,92,144,-621,2,-6,261,-95,-12,24
-17840,91,144,-620,1,3,264,-96,-15,22
-17936,93,144,-622,2,-5,257,-96,-14,23
-17856,92,142,-622,-1,-3,261,-96,-14,22
-17840,91,144,-622,2,0,262,-97,-12,24
-17776,92,145,-621,-2,-5,264,-92,-14,26
-17792,93,144,-621,0,-4,258,-94,-12,23
-17760,90,144,-621,-1,-3,261,-94,-17,23
-17840,93,144,-622,-2,-2,261,-98,-15,26
-17936,92,144,-623,0,-4,259,-93,-12,24
-17792,92,144,-622,0,-2,263,-97,-12,21
-17776,92,144,-623,-3,-4,261,-99,-13,22
-17808,91,145,-622,-1,-5,259,-94,-11,22
-17776,93,143,-621,-2,-2,261,-96,-11,21
-17808,93,145,-621,-2,-1,259,-95,-14,19
-17808,91,144,-621,-1,-4,261,-95,-17,21
-17840,91,145,-622,-1,-3,262,-94,-15,22
-17776,91,144,-622,-1,-3,255,-94,-15,26
-17808,91,143,-621,-2,-4,259,-93,-13,20
-17920,93,145,-623,-2,-4,260,-96,-15,30
-17920,92,144,-622,0,-5,263,-96,-11,22
-17904,93,145,-622,-1,-2,260,-95,-12,22
-17776,92,145,-622,0,-5,260,-101,-12,24
-17792,92,145,-623,-1,-4,263,-93,-12,24
-17808,92,143,-622,0,-5,258,-94,-16,20
-17792,93,145,-623,1,-1,258,-94,-11,21
-17872,92,144,-622,5,-4,256,-93,-12,25
-17936,92,145,-623,1,0,262,-96,-16,24
-17872,91,144,-623,-4,-6,263,-95,-14,22
-17840,92,144,-623,1,-2,263,-93,-10,22
-17904,92,144,-622,1,-7,261,-95,-14,21
-17872,91,145,-623,-2,-4,260,-93,-10,23
-17920,91,144,-622,-6,-3,259,-95,-12,23
-17968,92,144,-622,-6,-2,260,-97,-15,26
-17856,92,144,-623,4,2,262,-94,-10,23
-17904,93,144,-623,2,-13,260,-94,-10,20
-17904,93,144,-621,0,-1,261,-93,-12,24
-17904,91,143,-623,-3,-2,258,-96,-11,22
-17920,92,143,-622,-8,-1,261,-97,-13,24
-17824,91,144,-623,-2,-3,262,-97,-15,26
-17936,93,145,-622,-1,-5,258,-94,-11,21
-17856,91,143,-623,0,-4,261,-99,-12,19
-17936,94,144,-623,-2,-3,261,-95,-13,20
-17840,92,145,-622,-4,-5,257,-94,-16,20
-17952,93,144,-623,0,-3,259,-98,-11,23
-17840,91,144,-623,-1,-2,263,-93,-16,23
-17856,91,144,-622,0,-2,260,-94,-15,21
-17952,91,143,-622,-5,-2,262,-94,-14,22
-17872,92,144,-622,-1,-4,260,-93,-13,24
